, serial stream, parallel stream, active iterator 
1000,48170879,10303968,451282
1250,1825230,4265923,490788
1563,1215322,2640319,662712
1954,2461421,5136958,816000
2442,1933715,8592915,1318373
3052,2690641,1925356,765219
3815,1853674,1266450,1642296
4769,1762614,883253,636626
5961,1163046,656945,961581
7451,1643593,25469877,899476
9314,2490252,870167,545753
11642,1190244,815422,554373
14552,1082167,2265016,584166
18190,984265,742917,659360
22738,1026359,899947,978234
28422,1476347,1294528,1016584
35528,1528526,1056506,1060250
44409,1922786,877274,1775382
55512,2539123,1105891,2230941
69389,4680820,1684446,2796388
86737,4366910,1222936,3458316
108421,4943767,1569951,1633636
135526,3468695,2202001,1579290
169407,4078246,3203747,2397029
211759,5912259,2455129,2993458
264698,7019420,2825245,3213205
330873,7543245,3377408,3641773
413591,9256586,4812951,5057847
516988,11262399,6836907,6951331
646235,15707275,4880591,7788880
807794,19073544,5895657,10126341
1009742,22813794,8585321,13962905
1262178,31888161,10483919,15023352
1577722,36715902,17500607,18286505
1972153,42935504,9283347,24503477
2465191,51156882,19429253,29036057
3081488,61720037,14701442,39097442
3851860,124506235,20984980,45688584
4814825,100936981,24644467,50090530
6018532,113975685,28941256,70146603
7523164,151205559,35363032,85173715

